id,area,title,persona,journey,expected,entry_points,qa_status,bug_ids,fix_status,retest_status,fix_commits,evidence,last_report,overlaps,notes
ET-011,ET,Skill marketplace remove,Operator/Agent,,`DELETE /api/skills/marketplace/:name` removes + refreshes; missing name → 400.,"`DELETE /api/skills/marketplace/:name`, web remove, `agh__skill_remove`",pass,BUG-0007,fixed,pass,,`skills.go:359-383`; qa/evidence/batch-014-skills-marketplace/et007-et011.json; qa/evidence/batch-014-skills-marketplace/et007-et011-summary.json; qa/issues/BUG-007.md,,,story: As an operator I remove an installed marketplace skill. || errors: BUG-007: CLI remove previously deleted filesystem only and left daemon list stale. || migrated-status: qa=Passed after BUG-007 retest | error=BUG-007 resolved | retest=Retested: CLI remove returned removed; subsequent HTTP delete returned 404 and HTTP list omitted review. || src: docs/qa/_seeds/feature-stories/03_analysis_extensibility-tools.md || inventory: Potential UX/logistics risk
ET-012,ET,Skill settings: disabled-skill tombstones,Operator,,`GET/PATCH /api/settings/skills`; disabled list applies immediately (no restart); agent scope scopes to one agent + optional workspace context.,"`GET/PATCH /api/settings/skills`, web `/settings/skills`",pass,,,,,"`internal/api/core/settings.go:81-93`; `settings/skills.tsx:143-175,319-411`; qa/evidence/batch-015-skills-settings/et012-et013.json; qa/evidence/batch-015-skills-settings/et012-et013-summary.json",,MS-037,story: As an operator I toggle disabled skills in settings (global or agent scope) and apply immediately. || errors: None observed during isolated HTTP and UDS-backed CLI QA. || overlap: Skill disabled-skill behavior; overlaps generic settings section MS-037. || Global and agent-scoped disabled_skills applied live; HTTP and CLI skill list showed agh disabled then restored. Agent scope rejected immutable poll_interval change. Web settings route remains browser-blocked. || src: docs/qa/_seeds/feature-stories/03_analysis_extensibility-tools.md || inventory: Needs QA
ET-013,ET,Skill settings: registry policy,Operator,,PATCH persists policy (restart required to apply for `enabled`/poll); allowlists `allowed_marketplace_mcp` / `allowed_marketplace_hooks`.,"`PATCH /api/settings/skills`, web policy section",pass,,,,,`settings/skills.tsx:441-578`; qa/evidence/batch-015-skills-settings/et012-et013.json; qa/evidence/batch-015-skills-settings/et012-et013-summary.json,,MS-037,"story: As an operator I configure skill registry enablement, poll interval, marketplace registry/base-url, and MCP/hook install allowlists. || errors: None observed during isolated HTTP QA. || overlap: Skill registry policy behavior; overlaps generic settings section MS-037. || Invalid poll interval and invalid marketplace base_url returned 400. Temporary policy with poll_interval allowlists and marketplace settings persisted as restart-required then restored. Web restart banner remains browser-blocked. || src: docs/qa/_seeds/feature-stories/03_analysis_extensibility-tools.md || inventory: Needs QA"
ET-014,ET,Skills page empty/error/cached states,Operator,,"Loading spinner, error empty-state, background-error warning (""Showing cached skills""), marketplace empty state.",web `/skills`,blocked-verify,,,,,"`web/src/routes/_app/skills.tsx:68-105,93-105`; qa/evidence/batch-016-web-skills-states/et014-browser-blocked.json",,,"story: As an operator I see clear loading, error, empty, and cached-on-background-error states on the Skills page. || errors: Skills page loading/error/cached/empty visual states require browser/router/query-client execution. QA bootstrap browser.mode=blocked because neither browser-use plugin nor agent-browser CLI is available; runtime skill and marketplace API semantics were covered by ET-001..ET-013, but visual states remain untested. || migrated-status: qa=Blocked | error=Environment blocker | fix=Blocked | retest=Blocked || No product failure claimed; requires browser automation to complete. || src: docs/qa/_seeds/feature-stories/03_analysis_extensibility-tools.md || inventory: Needs QA"
ET-015,ET,List extensions,Operator/Agent,,"`GET /api/extensions` returns daemon-owned state incl. health, missing_env, provenance, last_error; 503 if service unconfigured.","`GET /api/extensions`, web `/settings/hooks-extensions`, `agh__extensions_list`",pass,,,,,`internal/api/core/extensions.go:53-66`; `hooks-extensions.tsx:415-486`; qa/evidence/batch-017-extensions-local-marketplace/et015-et023.json; qa/evidence/batch-017-extensions-local-marketplace/et015-et023-summary.json,,,story: As an operator I list installed extensions with health/state/version/trust. || errors: None observed during isolated HTTP and UDS-backed CLI QA. || HTTP and CLI list were empty before install and included qa-local-ext after local install with daemon_running=true. Web health tones remain browser-blocked. || src: docs/qa/_seeds/feature-stories/03_analysis_extensibility-tools.md || inventory: Needs QA
ET-016,ET,Extension marketplace search,Operator/Agent,,`GET /api/extensions/marketplace?q=&source=&limit=` (limit must be positive int else 400).,"`GET /api/extensions/marketplace`, web marketplace section, `agh__extensions_search`",blocked-verify,BUG-0008,fixed,pass,,"`extensions.go:68-90,328-339`; `hooks-extensions.tsx:744-869`; qa/evidence/batch-017-extensions-local-marketplace/et015-et023.json; qa/evidence/batch-017-extensions-local-marketplace/et015-et023-summary.json; qa/issues/BUG-008.md",,,story: As an operator I search the extension marketplace by query/source. || errors: BUG-008: unconfigured extension marketplace initially returned masked HTTP 500; fixed source-unavailable classification to 503. || migrated-status: qa=Blocked after BUG-008 fix | error=Configuration blocker; BUG-008 resolved | retest=Retested: invalid limit returned 400 and unconfigured marketplace returned 503. Actual search results require configured extensions.marketplace registry. || No extension marketplace registry is configured in the isolated lab. || src: docs/qa/_seeds/feature-stories/03_analysis_extensibility-tools.md || inventory: Potential UX/logistics risk
ET-017,ET,Install extension (local path + checksum),Operator/Agent,,"`POST /api/extensions {path,checksum}` (path requires checksum; path+slug mutually exclusive → 400); checksum mismatch → 400, unverified → 422.","`POST /api/extensions` (privileged), `agh__extensions_install`",pass,,,,,"`extensions.go:93-128,214-240`; qa/evidence/batch-017-extensions-local-marketplace/et015-et023.json; qa/evidence/batch-017-extensions-local-marketplace/et015-et023-summary.json",,,story: As an operator I install a local extension by path with a required checksum. || errors: None observed during isolated HTTP QA. || Local fixture qa-local-ext covered missing checksum 400 path+slug 400 unverified 422 checksum mismatch 400 and successful allow_unverified install with local_path provenance. || src: docs/qa/_seeds/feature-stories/03_analysis_extensibility-tools.md || inventory: Needs QA
ET-018,ET,Install extension (marketplace slug + trust),Operator/Agent,,"`POST /api/extensions {slug,source,version,asset}` returns 201; blocked trust → error; web exposes `allow_unverified` toggle.","`POST /api/extensions`, web install button, `agh__extensions_install`",blocked-verify,BUG-0008,,,,"`extensions.go:93-128`; `hooks-extensions.tsx:758-787,871-917`; qa/evidence/batch-017-extensions-local-marketplace/et015-et023.json; qa/evidence/batch-017-extensions-local-marketplace/et015-et023-summary.json; qa/issues/BUG-008.md",,,story: As an operator I install a marketplace extension by slug with trust/allow_unverified gating. || errors: Marketplace slug install returned 503 because extensions.marketplace registry is not configured in the isolated lab. No product failure after BUG-008; actual install and web trust badge require configured registry. || migrated-status: qa=Blocked | error=Configuration blocker | retest=Blocked || Verify allow_unverified path and trust badge after a real extension marketplace is configured. || src: docs/qa/_seeds/feature-stories/03_analysis_extensibility-tools.md || inventory: Potential UX/logistics risk
ET-019,ET,Update extension,Operator/Agent,,`PUT /api/extensions/:name {version}` returns update payload; not-found → 404.,"`PUT /api/extensions/:name` (privileged), web Update, `agh__extensions_update`",blocked-verify,,,,,`extensions.go:130-153`; qa/evidence/batch-017-extensions-local-marketplace/et015-et023.json; qa/evidence/batch-017-extensions-local-marketplace/et015-et023-summary.json,,,story: As an operator I update a managed extension to a version. || errors: Missing extension update returned 404. Successful check/apply update requires a marketplace-installed extension and the isolated lab has no extension marketplace registry. || migrated-status: qa=Blocked | error=Configuration blocker | retest=Blocked || src: docs/qa/_seeds/feature-stories/03_analysis_extensibility-tools.md || inventory: Needs QA
ET-020,ET,Remove extension,Operator/Agent,,`DELETE /api/extensions/:name`; active bundles → 409 (`ErrExtensionHasActiveBundles`).,"`DELETE /api/extensions/:name` (privileged), web Remove, `agh__extensions_remove`",pass,,,,,"`extensions.go:155-172,233-234`; qa/evidence/batch-017-extensions-local-marketplace/et015-et023.json; qa/evidence/batch-017-extensions-local-marketplace/et015-et023-summary.json",,,story: As an operator I remove a managed extension. || errors: None observed during isolated HTTP and UDS-backed CLI QA. || HTTP removed qa-local-ext and subsequent HTTP list omitted it; CLI status after remove returned not found. Active-bundle 409 not exercised because no bundle activation fixture was present. || src: docs/qa/_seeds/feature-stories/03_analysis_extensibility-tools.md || inventory: Needs QA
ET-021,ET,Enable/disable extension,Operator/Agent,,"`POST /api/extensions/:name/{enable,disable}` returns extension payload; ""toggles apply immediately, no restart"".","`POST /api/extensions/:name/{enable,disable}` (privileged), web toggle, `agh__extensions_enable/disable`",pass,,,,,"`extensions.go:174-182,242-270`; `hooks-extensions.tsx:432-436`; qa/evidence/batch-017-extensions-local-marketplace/et015-et023.json; qa/evidence/batch-017-extensions-local-marketplace/et015-et023-summary.json",,,"story: As an operator I enable or disable an installed extension, applied immediately. || errors: None observed during isolated HTTP and UDS-backed CLI QA. || HTTP disable returned enabled=false state=disabled; CLI enable returned enabled=true through daemon. Web toggle remains browser-blocked. || src: docs/qa/_seeds/feature-stories/03_analysis_extensibility-tools.md || inventory: Needs QA"
ET-022,ET,Extension status,Operator/Agent,,`GET /api/extensions/:name` returns current health/state.,"`GET /api/extensions/:name`, `agh__extensions_info`",pass,,,,,`extensions.go:184-197`; qa/evidence/batch-017-extensions-local-marketplace/et015-et023.json; qa/evidence/batch-017-extensions-local-marketplace/et015-et023-summary.json,,,story: As an operator I read one extension's runtime status. || errors: None observed during isolated HTTP and UDS-backed CLI QA. || HTTP and CLI status returned qa-local-ext with daemon_running=true during install window. || src: docs/qa/_seeds/feature-stories/03_analysis_extensibility-tools.md || inventory: Needs QA
ET-023,ET,Extension provenance/trust report,Operator,,`GET /api/extensions/:name/provenance` returns installed_from/registry_tier/checksum_sha256/checksum_verified/allow_unverified/trust+warnings.,"`GET /api/extensions/:name/provenance`, web Provenance panel",pass,,,,,`extensions.go:199-212`; `hooks-extensions.tsx:664-731`; qa/evidence/batch-017-extensions-local-marketplace/et015-et023.json; qa/evidence/batch-017-extensions-local-marketplace/et015-et023-summary.json,,,story: As an operator I inspect persisted provenance and trust decision for an extension. || errors: None observed during isolated HTTP and UDS-backed CLI QA. || HTTP and CLI provenance returned installed_from=local_path registry_tier=unverified checksum_sha256 checksum_verified=false allow_unverified=true and trust.decision=allowed_unverified. Web Provenance panel remains browser-blocked. || src: docs/qa/_seeds/feature-stories/03_analysis_extensibility-tools.md || inventory: Needs QA
ET-024,ET,Bundle catalog,Operator/Agent,,`GET /api/bundles/catalog` returns bundles+profiles with counts and channel summaries; 503 if service unconfigured.,"`GET /api/bundles/catalog`, `agh__bundles_list/info`",pass,,,,,"`internal/api/core/bundles.go:18-29,197-221`; qa/evidence/batch-018-bundles/et024-et030.json; qa/evidence/batch-018-bundles/et024-et030-summary.json",,,story: As an operator I browse extension-shipped bundle profiles with agent/job/trigger/bridge counts. || errors: None observed during isolated HTTP and UDS-backed CLI QA. || Local extension qa-bundle-ext shipped qa-bundle/default with primary qa-channel; HTTP and CLI catalog included it. Zero projected resource counts are omitted from JSON and interpreted as zero. No dedicated web route found. || src: docs/qa/_seeds/feature-stories/03_analysis_extensibility-tools.md || inventory: Needs QA
ET-025,ET,Preview bundle activation (dry-run),Operator/Agent,,"`POST /api/bundles/preview {extension_name,bundle_name,profile_name,scope,workspace}` returns projected agents/jobs/triggers/bridges/inventory without persisting.","`POST /api/bundles/preview`, `agh__bundles_*`",pass,,,,,"`bundles.go:31-43,143-162,223-301`; qa/evidence/batch-018-bundles/et024-et030.json; qa/evidence/batch-018-bundles/et024-et030-summary.json",,,story: As an operator I preview what activating a bundle profile would project before committing. || errors: None observed during isolated HTTP and UDS-backed CLI QA. || HTTP and CLI preview returned dry-run activation with qa-channel and empty inventory. || src: docs/qa/_seeds/feature-stories/03_analysis_extensibility-tools.md || inventory: Needs QA
ET-026,ET,Activate bundle,Operator/Agent,,"`POST /api/bundles/activations` returns 201 activation; `bind_primary_channel_as_default` optional; conflicts (agent/default-channel) → 409, missing agent ref → 422.","`POST /api/bundles/activations`, `agh__bundles_activate`",pass,,,,,"`bundles.go:62-74,333-356`; qa/evidence/batch-018-bundles/et024-et030.json; qa/evidence/batch-018-bundles/et024-et030-summary.json",,,story: As an operator I activate a bundle profile at global or workspace scope. || errors: None observed during isolated HTTP QA. || HTTP activate created act_2f4b280412187f5f. Agent-conflict and missing-agent 409/422 branches were not exercised because this fixture intentionally had no agents. || src: docs/qa/_seeds/feature-stories/03_analysis_extensibility-tools.md || inventory: Needs QA
ET-027,ET,List/get bundle activations,Operator/Agent,,`GET /api/bundles/activations` and `/:id` return activation payloads incl. inventory; unknown id → 404.,"`GET /api/bundles/activations[/:id]`, `agh__bundles_status`",pass,,,,,`bundles.go:45-87`; qa/evidence/batch-018-bundles/et024-et030.json; qa/evidence/batch-018-bundles/et024-et030-summary.json,,,story: As an operator I list active bundle activations and inspect one. || errors: None observed during isolated HTTP and UDS-backed CLI QA. || HTTP and CLI list/get returned the active qa-bundle activation. || src: docs/qa/_seeds/feature-stories/03_analysis_extensibility-tools.md || inventory: Needs QA
ET-028,ET,Update bundle activation (channel binding),Operator,,`PATCH /api/bundles/activations/:id {bind_primary_channel_as_default}` updates binding.,`PATCH /api/bundles/activations/:id`,pass,,,,,`bundles.go:89-109`; qa/evidence/batch-018-bundles/et024-et030.json; qa/evidence/batch-018-bundles/et024-et030-summary.json,,,story: As an operator I rebind a bundle activation's primary channel as the network default. || errors: None observed during isolated HTTP QA. || HTTP PATCH set bind_primary_channel_as_default=true and network settings reflected qa-channel as effective default. || src: docs/qa/_seeds/feature-stories/03_analysis_extensibility-tools.md || inventory: Needs QA
ET-029,ET,Deactivate bundle,Operator/Agent,,`DELETE /api/bundles/activations/:id` → 204.,"`DELETE /api/bundles/activations/:id`, `agh__bundles_deactivate`",pass,,,,,`bundles.go:111-121`; qa/evidence/batch-018-bundles/et024-et030.json; qa/evidence/batch-018-bundles/et024-et030-summary.json,,,story: As an operator I deactivate (remove) a bundle activation. || errors: None observed during isolated HTTP QA. || HTTP DELETE returned 204; subsequent activation list omitted act_2f4b280412187f5f and cleanup removed qa-bundle-ext. || src: docs/qa/_seeds/feature-stories/03_analysis_extensibility-tools.md || inventory: Needs QA
ET-030,ET,Bundle network settings,Operator,,`GET /api/bundles/network/settings` returns configured/effective default channel + source + declared channels.,`GET /api/bundles/network/settings`,pass,,,,,"`bundles.go:123-141,303-318`; qa/evidence/batch-018-bundles/et024-et030.json; qa/evidence/batch-018-bundles/et024-et030-summary.json",,NB-023,story: As an operator I read configured vs effective default channel and declared channels. || errors: None observed during isolated HTTP and UDS-backed CLI QA. || overlap: Canonical owner for bundle network settings; overlaps NB-023. || HTTP and CLI network settings reflected qa-channel while bound and cleared declared channel after deactivate. Overlaps Network slice. || src: docs/qa/_seeds/feature-stories/03_analysis_extensibility-tools.md || inventory: Needs QA
ET-031,ET,List resources (filtered),Operator/Agent,,`GET /api/resources` and `/:kind` return raw records; invalid filter -> 422 validation error.,"`GET /api/resources[/:kind]`, `agh__resources_list`, `agh__resource_list`",pass,,,,,"`internal/api/core/resources.go:140-161,266-329`; qa/evidence/batch-019-resources/et031-et034.json; qa/evidence/batch-019-resources/et031-et034-summary.json",,,story: As an operator I list desired-state resources filtered by kind/scope/owner/source. || errors: None observed during isolated UDS and UDS-backed CLI QA; public HTTP /api/resources remains disabled without explicit operator auth. || Validated UDS list by kind/scope/owner/source/limit and CLI resource list. Semantic filter errors return 422 per StatusForResourceError/core tests; inventory expectation corrected from 400. || src: docs/qa/_seeds/feature-stories/03_analysis_extensibility-tools.md || inventory: Needs QA
ET-032,ET,Get resource,Operator/Agent,,"`GET /api/resources/:kind/:id` returns record; missing id → 400, not found → mapped status.","`GET /api/resources/:kind/:id`, `agh__resources_info`",pass,,,,,"`resources.go:163-184,367-379`; qa/evidence/batch-019-resources/et031-et034.json; qa/evidence/batch-019-resources/et031-et034-summary.json",,,"story: As an operator I read one desired-state resource by kind+id. || errors: None observed during isolated UDS and UDS-backed CLI QA. || Validated UDS get, CLI get, missing record 404, and CLI blank id rejection before UDS call. Public HTTP resource route remains disabled without operator auth. || src: docs/qa/_seeds/feature-stories/03_analysis_extensibility-tools.md || inventory: Needs QA"
ET-033,ET,Put resource (optimistic CRUD + codec validation),Operator/Agent,,"`PUT /api/resources/:kind/:id {scope,expected_version,spec}`; codec validates+canonicalizes when registered; `expected_version=0` → 201 else 200; write triggers reconciliation.","`PUT /api/resources/:kind/:id`, `agh__resources_snapshot`",pass,BUG-0009,fixed,pass,,"`resources.go:90-121,186-227,381-405`; qa/evidence/batch-019-resources/et031-et034-before-bug-009.json; qa/evidence/batch-019-resources/et031-et034-summary-before-bug-009.json; qa/evidence/batch-019-resources/et031-et034.json; qa/evidence/batch-019-resources/et031-et034-summary.json; qa/issues/BUG-009.md",,,"story: As an operator I create or update a resource with optimistic concurrency and schema validation. || errors: BUG-009: registered resource codec validation errors without resources.ErrValidation returned HTTP 500 instead of a user-actionable 422. || migrated-status: qa=Passed after BUG-009 retest | error=Resolved BUG-009 | fix=Fixed in internal/resources/codec.go with regression coverage in internal/resources/typed_test.go. | retest=Passed after rebuilding and restarting the isolated daemon as PID 57663; invalid bundle.activation spec now returns 422 and create/update/stale-conflict cleanup passed. || Validated create 201, codec canonicalization, CLI update with expected_version, stale update 409, invalid spec 422 after fix, and reconciler trigger tolerance. || src: docs/qa/_seeds/feature-stories/03_analysis_extensibility-tools.md || inventory: Needs QA"
ET-034,ET,Delete resource (optimistic),Operator/Agent,,`DELETE /api/resources/:kind/:id {expected_version}` -> 204; non-positive version -> 422 validation error.,`DELETE /api/resources/:kind/:id`,pass,,,,,`resources.go:229-264`; qa/evidence/batch-019-resources/et031-et034.json; qa/evidence/batch-019-resources/et031-et034-summary.json,,,"story: As an operator I delete a resource with a required positive expected_version. || errors: None observed during isolated UDS and UDS-backed CLI QA. || Validated non-positive expected_version 422, stale version 409, CLI delete success with current version, and post-delete 404. Inventory expectation corrected from 400 to 422. || src: docs/qa/_seeds/feature-stories/03_analysis_extensibility-tools.md || inventory: Needs QA"
ET-035,ET,List/search tools (operator projection),Operator/Agent,,"`GET /api/tools` + `POST /api/tools/search {query,limit}` return descriptor+availability+decision per tool; 503 if registry unconfigured.","`GET /api/tools`, `POST /api/tools/search`, `agh__tool_list/search`",pass,,,,,"`internal/api/core/tools.go:21-55,268-393`; qa/evidence/batch-020-tools/et035-et040.json; qa/evidence/batch-020-tools/et035-et040-summary.json",,,"story: As an operator I list and search the full tool registry projection with diagnostics. || errors: None observed during isolated HTTP and UDS-backed CLI QA. || Validated HTTP and CLI list/search, 149-tool projection, descriptor digests/risk flags, and unavailable bundle tools carrying dependency_missing reason codes. Registry-unconfigured 503 was not live in this daemon. || src: docs/qa/_seeds/feature-stories/03_analysis_extensibility-tools.md || inventory: Needs QA"
ET-036,ET,Get tool descriptor + diagnostics,Operator/Agent,,"`GET /api/tools/:id` returns descriptor (read_only/destructive/open_world/risk, schema digests), availability, decision; invalid id → tool error.","`GET /api/tools/:id`, `agh__tool_info`",pass,,,,,"`tools.go:57-73,311-393`; qa/evidence/batch-020-tools/et035-et040.json; qa/evidence/batch-020-tools/et035-et040-summary.json",,,"story: As an operator I inspect one tool's schema digests, risk flags, availability, and policy decision. || errors: None observed during isolated HTTP and UDS-backed CLI QA. || Validated HTTP and CLI tool info for agh__tool_info with descriptor, availability, decision, schema digests, risk flags, invalid ID 400, and missing tool 404. || src: docs/qa/_seeds/feature-stories/03_analysis_extensibility-tools.md || inventory: Needs QA"
